Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:12:15 AM,01/01/2016 07:51:44 AM,MANHATTAN,Banging/Pounding,Noise - Residential,NYPD,-73.96550374417565,40.79862370810118,Closed,0 days 07:39:29.000000000,0
01/01/2016 12:12:45 AM,01/02/2016 12:14:47 AM,Unspecified,The ABCs of Housing,HPD Literature Request,HPD,,,Closed,1 days 00:02:02.000000000,0
01/01/2016 12:13:01 AM,01/01/2016 09:42:53 AM,BRONX,No Access,Blocked Driveway,NYPD,-73.90006229643518,40.81741161747582,Closed,0 days 09:29:52.000000000,0
01/01/2016 12:13:23 AM,01/01/2016 12:41:24 AM,MANHATTAN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.94332981742319,40.81265969749149,Closed,0 days 00:28:01.000000000,0
01/01/2016 12:13:27 AM,01/01/2016 03:43:44 AM,BROOKLYN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.91957571461724,40.706305931739045,Closed,0 days 03:30:17.000000000,0
01/01/2016 12:13:59 AM,01/01/2016 03:55:39 PM,BROOKLYN,No Access,Blocked Driveway,NYPD,-73.97272470140605,40.628749667029155,Closed,0 days 15:41:40.000000000,0
01/01/2016 12:14:10 AM,01/01/2016 12:54:06 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.94119528888764,40.713974151621706,Closed,0 days 00:39:56.000000000,0
01/01/2016 12:14:16 AM,01/01/2016 03:11:40 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.90195294442927,40.8730347484436,Closed,0 days 02:57:24.000000000,0
01/01/2016 12:14:47 AM,01/01/2016 01:35:46 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.9110036136785,40.67565151198647,Closed,0 days 01:20:59.000000000,0
01/01/2016 12:15:20 AM,01/01/2016 07:47:27 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.85873780112755,40.86387479538676,Closed,0 days 07:32:07.000000000,0
01/01/2016 12:15:35 AM,01/01/2016 12:31:47 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.9428169220209,40.80835297400564,Closed,0 days 00:16:12.000000000,0
01/01/2016 12:15:35 AM,01/01/2016 07:43:18 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.83052546308947,40.82769719367327,Closed,0 days 07:27:43.000000000,0
01/01/2016 12:16:13 AM,01/01/2016 01:05:04 AM,BRONX,No Access,Blocked Driveway,NYPD,,,Closed,0 days 00:48:51.000000000,0
01/01/2016 12:17:18 AM,01/01/2016 08:42:10 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.75950926531158,40.74337596142075,Closed,0 days 08:24:52.000000000,0
01/01/2016 12:17:18 AM,01/01/2016 02:04:24 PM,BRONX,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.90050210205231,40.85913161074411,Closed,0 days 13:47:06.000000000,0
01/01/2016 12:18:21 AM,01/01/2016 12:58:31 AM,MANHATTAN,Banging/Pounding,Noise - Residential,NYPD,-73.98927597325894,40.71271235686723,Closed,0 days 00:40:10.000000000,0
01/01/2016 12:18:56 AM,01/01/2016 06:48:38 AM,QUEENS,Banging/Pounding,Noise - Residential,NYPD,-73.7992738484293,40.784403787760134,Closed,0 days 06:29:42.000000000,0
01/01/2016 12:19:00 AM,01/01/2016 12:39:00 AM,BRONX,LED Pedestrian Unit,Traffic Signal Condition,DOT,,,Closed,0 days 00:20:00.000000000,0
01/01/2016 12:19:04 AM,01/01/2016 02:23:56 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.97546819267723,40.643152183961725,Closed,0 days 02:04:52.000000000,0
01/01/2016 12:19:18 AM,01/01/2016 08:32:50 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.88415147136058,40.65551660248385,Closed,0 days 08:13:32.000000000,0
